link_text,main_image_src,description_text
"Ambati Rayudu talks about decision to play CPL: It's different, but enjoying experience",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/ambati-rayudu-223902-16x9.jpg?VersionId=7PGfMvUbMgxVvl6LJphTU_34Cqb7onpP&size=690:388,"Listen to Story Former India cricketer Ambati Rayudu said he has been enjoying his experience in his maiden stint in the Caribbean Premier League (CPL), highlighting the difference in atmosphere between CPL and the Indian Premier League. Rayudu became only the second Indian cricketer after Pravin Tambe to feature in the men's CPL. After retiring from IPL and domestic cricket following Chennai Super Kings's triumphant run in 2023, Rayudu  , CSK's sister franchise, for the inaugural Major League Cricket (MLC) in the USA. But due to personal reasons, Rayudu decided to withdraw from the MLC, despite being one of the key signings for the Texas Super Kings. His decision came amidst speculations about a proposed cooling-off period policy by the Board of Control for Cricket in India (BCCI), which could potentially restrict retired players from participating in overseas leagues immediately after their retirement. Rayudu eventually made his CPL debut for St Kitts & Nevis Patriots on August 19 against Trinbago Knight RIders. However, Rayudu did not get an opportunity to bat as the match was affected by rain.  “I have heard some really good things about the league, especially the standard of cricket that’s played here.  I am happy to be part of the St. Kitts & Nevis Patriots,” Rayudu said.  Shedding light on his decision to play in the CPL, Rayudu said he had heard a lot of good things about the T20 league from Kieron Pollard and his former CSK teammate Dwayne Bravo.  “Pollard and Bravo used to talk a lot about the CPL. This is the first time I’m playing in a dressing room without any Indians, so that’s a bit strange and it feels a bit different but they’re really nice people. They have been very warm. “Playing in the CPL is a very different experience as compared to playing in India. They have a lot of music and a lot of fun, it’s all a bit new to me but I’m really enjoying it so far.”"
PHOTOS,,
05,,"Mira Rajput stole the show in a mini white dress with an off-shoulder detail and pleated skirt silhouette. She completed the look with a pair of bejewelled footwear. Bhumi Pednekar took the striped route with her outfit for the night. The actress rocked a striped corset with a matching figure-hugging skirt. Salman Khan too attended the party. He flaunted his new hairstyle as he turned up in a crisp black shirt and a pair of dual-tone trousers. AP Dhillon, who is celebrating the release of his Prime Video docu-series and new song 'With You', showcased his penchant for fashion in metallic pants teamed with a matching jacket."
Videos,,"Indians on Tuesday prayed for a successful landing of Chandrayaan-3 on the moon. Days after a few teenagers captured a leopard cub in a village in Madhya Pradesh’s Alirajpur and shared the video of the act online, a concerned citizen saw the viral video and contacted the police and forest officials. Acting upon the tip, the forest department conducted a search operation and managed to locate and rescue the cub from the jungles near Khadkhadi village, as confirmed by the Deputy Forest Officer (DFO), Mayank Gurjar. A video of three teenage boys driving a police escort vehicle on a Kanpur road has gone viral. The video, which was widely shared on social media platforms, captures the audacious scene in which the minors are seen confidently maneuvering the police escort vehicle, raising questions about the responsibilities of both the police department and parents in ensuring the safety of the public. Police said they were trying to identify the teenagers and the origin of the video. Prime Minister Narendra Modi has reached South Africa to attend the 15th BRICS summit. With the Karnataka government announcing to release Cauvery water to Tamil Nadu, farmers in Karnataka’s Mandya held protests, opposing the government’s move. They said releasing the water for Tamil Nadu will create water shortage for them and destroy their crops.a  A pet dog saved the life of his owner, who was attacked by wild bears when she went into the woods to collect firewood near the Bela village. The dog charged at the bears, creating a commotion and diverting the bears' attention away from the woman. Startled by the sudden aggression of the dog, the two bears hastily retreated into the depths of the forest. The pet dog had followed its owner, Mahetreen Bai up the hill and the moment he saw the bears attacking her, it charged at the bears, creating a commotion and diverting the bears' attention away from the woman. Startled by the sudden aggression of the dog, the two bears hastily retreated into the depths of the forest. Mahetreen Bai sustained injuries and was rescued by locals later. A police complaint was filed against actor Prakash Raj for his tweet on the Chandrayaan-3 mission. Leaders of Hindu organisations filed a complaint against the 58-year-old actor in Karnataka's Bagalkote district and demanded action against him. On August 20, the actor had shared a cartoon of a man wearing a vest and a lungi and pouring tea and had captioned it ""First picture coming from the Moon by #VikramLander (sic)"". Several users accused him of 'mocking' India's ambitious Moon mission. A speeding truck lost control and hit a tractor before ramming into a moving goods train on the Farakka bridge in West Bengal on Tuesday morning. The 14-wheeler lorry, en route from Malda to Farakka, was hurtling down the bridge at an alarming speed when it slammed into a tractor that was heading in the opposite direction. Struggling to regain control, the lorry careened across the bridge, breaking through the bridge's railing due to its uncontrollable velocity. With its path unobstructed, the lorry then crashed directly into the path of a goods vehicle that was moving along the down rail line, bound for its destination. The cargo train's driver prevented an even greater catastrophe by applying the emergency brakes. Police and railway officials soon reached the spot. 
 Delhi Commission for Women chairperson Swati Maliwal wrote a letter to Union Home Minister Amit Shah after she was denied permission to meet the survivor in a rape case involving a Delhi officer. Dr Rajan explains how Chandrayaan-3 plans to explore the potential abundance of resources such as water in the moon's south polar region."
16,,"Ritesh Sidhwani, producer and Farhan Akhtar's partner at Excel Entertainment, celebrated his birthday with much pomp and show on the night of August 18. The bash was attended by the who's who of tinsel town. Aamir Khan turned up in his casual best. Lovebirds Kiara Advani and Sidharth Malhotra were a match made in heaven, as they arrived hand-in-hand together. Basking in the success of 'Rocky Aur Rani Kii Prem Kahaani', Ranveer Singh arrived at Ritesh Sidhwani's birthday bash sans Deepika Padukone. While Suhana Khan didn't pose for pictures, she quietly arrived in her car and went inside the party.  The Nandas - Shweta, Agastya and Navya posed together before heading for the party. Soha Ali Khan arrived with her husband Kunal Kemmu. After arriving from the airport, Ananya went all glam as she posed with dad Chunky Panday. Singer Kanika Kapoor chose to go all shimmery for her party look. While Navya arrived with her family, Siddhant Chaturvedi rocked his casual avatar for the starry bash. Manish Malhotra, Maheep Kapoor, Sanjay Kapoor and Karan Johar, formed an integral part of the star-studded guest list. Samir Soni and Neelam Kothari, who are currently making headlines for 'Made In Heaven Season 2', looked beautiful. Karisma Kapoor, Amrita Arora and her husband Shakeel Ladak posed together. Sussanne Khan put on her LBD (Little Black Dress) as she posed with Arslan Goni. Dino Morea took to the black shirt as he arrived at the party.  Scoop actor Harman Baweja also posed for the cameras. Quite starry, no?"
"Realme GT 5 to let you adjust CPU clock speed: What this means, why should you care",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/realme-12-projpg-015435-16x9.jpg?VersionId=ocTeEobr1DaoC6p7KLdPWRxjgNeUxmu8&size=690:388,"Listen to Story Realme has confirmed its plans to launch the Realme GT 5 smartphone, and it's shaping up to be an exciting addition to the market, particularly due to its use of a unique feature that hasn't been officially introduced on other smartphones. The premium 5G phone will be using Qualcomm's Snapdragon 8 Gen 2 chipset and will offer an option to directly adjust the CPU clock speed. But, what does this mean, and why should consumers care? Let's find out. In an announcement on Weibo, the tech company revealed that the Realme GT 5 will come equipped with a ""geek performance panel."" While the details are still somewhat scarce, this panel will grant users the ability to fine-tune the clock speed of the Snapdragon 8 Gen 2 CPU, a functionality not yet seen in mainstream smartphones.  Screenshots of this intriguing feature, shared by known leaker Digital Chat Station, hint at a granular level of control. Users will have the ability to independently adjust the clock speeds of the high-performance, mid-range, and low-power CPU cores. It is unknown whether the company will let people make changes on a per-app basis, but this option would prove to be very useful if the company does add support. Realme is also expected to provide an option to revert to default settings in case users get confused and go in the wrong direction. This marks a potentially groundbreaking development, as traditionally, such CPU clock speed adjustments needed root access and select third-party apps, as first reported by . Adjusting CPU clock speed enables users to tailor their device's performance to their specific needs. For resource-intensive tasks like gaming or video editing, you can increase the clock speed to boost performance, resulting in smoother gameplay and faster video rendering. Conversely, for everyday tasks like browsing or reading emails, you can reduce the clock speed to save battery life and reduce heat generation. The ability to adjust a phone's CPU clock speed allows users to optimize their device's performance, battery life, and heat generation according to their specific preferences and needs. It remains to be seen how this feature will work and whether this will become a trend among premium phones in the near future. The official launch of the Realme GT 5 is scheduled for August 28 in China, with global availability details yet to be disclosed. But, since Realme brings almost most of its 5G phones to the Indian market, we expect the company to announce the new offering under the GT series in this country too. So far, there are no details on when this would arrive. "
05,,"Samantha Ruth Prabhu featured a rustic and embroidered-filled outfit, by designer Ritu Kumar from her latest collection, for an event in New York City.  The actress shared gorgeous pictures on Instagram on Monday (August 21). The Ritu Kumar ensemble had a heavily embroidered velvet based blazer paired with a long ethnic shrug. Samantha also wore maroon embroidered palazzo pants and a corset top with a plunging neckline. Her stunning necklace by Bespoke Vintage Jewels perfected the outfit even more with its old-world charm adored with semi-precious stones.  Amping up the style quotient, Samantha wore brown-tinted round sunglasses.  In the caption of her post, Samantha wrote, ""They say New York is where dreams are made. I started my career when I shot for my first film here…. A scared little girl without a clue about how she was going to make it… but daring enough to dream the big dream! Today, 14 years later."""
"IBM CEO says ChatGPT-like AI models will impact white collar work, make companies more productive",https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202308/ibm-221921-16x9.jpg?VersionId=YZJV3fNGUsbJ.U0237d66CeTRI5ugllR&size=690:388,"Listen to Story IBM's chairperson and CEO, Arvind Krishna, has stated that generative artificial intelligence (AI) models, including ChatGPT and Google Bard, can enhance productivity, although they might impact ""back office, white-collar"" work. In an interview with CNBC, Krishna also pointed out the declining or stable population growth in developed countries and expressed that AI technologies could ensure a ""quality life."" These remarks from the IBM CEO come amid the American tech giant's renewed efforts to capitalise on the AI boom. Recently, IBM introduced WatsonX - a suite of generative AI platforms designed to assist enterprises in safely harnessing this technology. During the interview, Krishna also stated that AI models, like ChatGPT, can help with productivity with fewer employees. He said, ""That means you can get the same work done with fewer people. That's just the nature of productivity. I actually believe that the first set of roles that will get impacted are — what I call — back office, white-collar work.""  The IBM CEO was mainly referring to the job trends in developed economies. He suggests there is ""a disinflation in the demographics,"" leading to a decline in the size of the working-age population. He was also clarifying his old remarks about IBM's evolving work practices and potential job cuts at the company.   In a separate interview in May, Krishna said that IBM might replace 30 per cent of jobs with AI or some form of automation technology. As a result, many feared that the company would cut 7,800 jobs in the next five years. Clarifying his old statement, Krishna suggested that new technology replace office work, which also happens at IBM. He notes: ""What I said was we are not going to backfill those roles for the next five years. I said, hey, if I dig that we normally churn (jobs) five-six per cent a year, over five years, that's about 30 per cent of those roles will not need to get backfilled. Labour or AI bots augmenting and working alongside their fellow humans doing that work. So, that is where the 7800 came from. Similar remarks have come from Microsoft CEO Satya Nadella and Google chief Sundar Pichai. Both CEOs have stated that AI would serve as an enabler and eliminate mundane tasks. However, some tech experts also expressed concerns that AI technology, particularly freely accessible chatbots like ChatGPT, might lead to unintended consequences, including racial bias. The pioneers of this technology, including OpenAI - the creator of ChatGPT, believe that a certain level of government regulation is crucial."
05,,"At a recent event, Kiran Rao and Reena Dutta were seen together.  The duo attended a book launch event held by Mansoor Khan at Title Waves, Bandra, Mumbai.  Kiran and Reena's ex-husband, Aamir Khan, also attended the book launch.  Both Kiran and Reena were seen in high spirits as they greeted each other. Junaid Khan, son of Aamir Khan and Reena Dutta, was also seen at the event. "
06,,"Ananya Panday is busy promoting her upcoming film 'Dream Girl 2'. The diva is doing in utmost style. The actress slipped into this exquisite neo-traditional Anamika Khanna ensemble for a promotional event. Doesn't she look gorgeous?  What she wore was a metallic bralette teamed with an embellished green cape and a matching skirt. Her heavy earrings and sparkling juttis added to the glam. For another event, Ananya slipped into a bewitching ivory lehenga set from the label Sawan Gandhi. The ethnic ensemble featured a sequinned blouse and a matching lehenga skirt. Keeping the monotone vibe intact, Ananya completed the look with an ivory dupatta and an assemblage of diamond jewels. Her minimal makeup and sleek hairbun beautifully rounded off her look."
